,開始時刻,終了時刻,左クリック,右クリック,打鍵回数,実行ファイル名,手動分類,候補1,候補2,候補3,自動推定,
,2013/05/22 10:42:16,2013/05/22 10:42:18,1,0,0,explorer.exe:OGL_変換仕様書,テスト,,,,テスト,
,2013/05/22 10:42:18,2013/05/22 10:42:19,1,0,0,explorer.exe:スタート メニュー,テスト,,,,テスト,
,2013/05/22 10:42:19,2013/05/22 10:42:20,1,0,0,notepad.exe:無題 - メモ帳,テスト,,,,テスト,
,2013/05/22 10:42:20,2013/05/22 10:42:21,1,0,0,explorer.exe:OGL_変換仕様書,テスト,,,,テスト,
,2013/05/22 10:42:21,2013/05/22 10:42:24,2,0,0,explorer.exe:WORKSHOP (E:),テスト,,,,テスト,
,2013/05/22 10:42:24,2013/05/22 10:42:25,2,0,0,explorer.exe:PROGRAM (D:),テスト,,,,テスト,
,2013/05/22 10:42:26,2013/05/22 10:42:28,1,0,0,notepad.exe:無題 - メモ帳,テスト,,,,テスト,
,2013/05/22 10:42:28,2013/05/22 10:42:33,1,0,0,notepad.exe:ボリュームD.txt - メモ帳,テスト,,,,テスト,
,2013/05/22 10:42:33,2013/05/22 10:42:34,0,0,0,explorer.exe:PROGRAM (D:),テスト,,,,テスト,
,2013/05/22 10:42:34,2013/05/22 10:42:37,1,0,0,explorer.exe:SQL_DB,テスト,,,,テスト,
,2013/05/22 10:42:37,2013/05/22 10:42:44,2,0,0,explorer.exe:PROGRAM (D:),テスト,,,,テスト,
,2013/05/22 10:42:44,2013/05/22 10:42:49,2,0,0,explorer.exe:解析ルート,テスト,,,,テスト,
,2013/05/22 10:42:49,2013/05/22 10:42:51,2,0,0,notepad.exe:ボリュームD.txt - メモ帳,テスト,,,,テスト,
,2013/05/22 10:42:51,2013/05/22 10:43:00,1,0,0,notepad.exe:ogl-srcdata - メモ帳,テスト,,,,テスト,
,2013/05/22 10:43:00,2013/05/22 10:43:01,1,0,0,airs_ovly.exe:AIRS for OVLY,テスト,テスト,,,テスト,
,2013/05/22 10:43:01,2013/05/22 10:43:04,1,0,0,notepad.exe:ogl-srcdata - メモ帳,テスト,,,,テスト,
,2013/05/22 10:43:04,2013/05/22 10:43:50,4,0,0,excel.exe:Microsoft Excel - テスト仕様書一覧.xls,テスト,テスト,文書作成・確認,,テスト,
,2013/05/22 10:43:50,2013/05/22 10:44:09,1,0,0,notepad.exe:ogl-srcdata - メモ帳,テスト,,,,テスト,
,2013/05/22 10:44:09,2013/05/22 10:44:11,1,0,0,devenv.exe:AIRS_OVLY (実行中) - Microsoft Visual Studio,プログラミング,プログラミング,テスト,,テスト,
,2013/05/22 10:44:11,2013/05/22 10:44:28,6,0,0,devenv.exe:AIRS_OVLY - Microsoft Visual Studio,プログラミング,プログラミング,テスト,,テスト,
,2013/05/22 10:44:28,2013/05/22 10:44:30,1,0,0,excel.exe:Microsoft Excel - 22_FRAME(UBR)制御文変換.xls,プログラミング,,,,テスト,
,2013/05/22 10:44:30,2013/05/22 10:44:32,1,0,0,excel.exe:Microsoft Excel - 新規Microsoft Excel ワークシート.xls,プログラミング,,,,プログラミング,
,2013/05/22 10:44:34,2013/05/22 10:45:02,4,0,30,devenv.exe:AIRS_OVLY - Microsoft Visual Studio,プログラミング,プログラミング,テスト,,プログラミング,
,2013/05/22 10:45:02,2013/05/22 10:45:03,0,0,0,excel.exe:Microsoft Excel - 新規Microsoft Excel ワークシート.xls,プログラミング,,,,プログラミング,
,2013/05/22 10:45:03,2013/05/22 10:45:04,1,0,0,excel.exe:Microsoft Excel - 新規Microsoft Excel ワークシート.xls,プログラミング,,,,プログラミング,
,2013/05/22 10:45:06,2013/05/22 10:45:48,11,0,16,devenv.exe:AIRS_OVLY - Microsoft Visual Studio,プログラミング,プログラミング,テスト,,プログラミング,
,2013/05/22 10:45:48,2013/05/22 10:45:50,1,0,0,excel.exe:Microsoft Excel - 22_FRAME(UBR)制御文変換.xls,プログラミング,,,,プログラミング,
,2013/05/22 10:45:50,2013/05/22 10:45:53,1,0,0,explorer.exe:解析ルート,プログラミング,,,,プログラミング,
