タスク名;開始時刻;終了時刻;左クリック;右クリック;打鍵回数;実行ファイル名;手動分類;候補1;候補2;候補3;自動推定
ブラウザ;2013/05/22 16:47:53;2013/05/22 16:48:21;4;0;25;iexplore.exe:植物 ??_淘宝搜索 - Windows Internet Explorer;余暇;余暇;;;余暇
ブラウザ;2013/05/22 16:48:21;2013/05/22 16:48:48;1;0;0;iexplore.exe:?花植物 ??_淘宝搜索 - Windows Internet Explorer;余暇;余暇;;;余暇
ブラウザ;2013/05/22 16:48:48;2013/05/22 16:49:08;1;0;0;iexplore.exe:成功加入?物?--当当网 - Windows Internet Explorer;余暇;;;;余暇
ブラウザ;2013/05/22 16:49:08;2013/05/22 16:49:27;2;1;0;iexplore.exe:?花植物 ??_淘宝搜索 - Windows Internet Explorer;余暇;余暇;;;余暇
ブラウザ;2013/05/22 16:49:27;2013/05/22 16:49:31;1;0;0;iexplore.exe:成功加入?物?--当当网 - Windows Internet Explorer;余暇;;;;余暇
ブラウザ;2013/05/22 16:49:31;2013/05/22 16:49:41;1;0;0;iexplore.exe:?物?--当当网 - Windows Internet Explorer;余暇;;;;余暇
調査　;2013/05/22 16:49:41;2013/05/22 16:50:47;0;0;0;sakura.exe:E:\開発三部\PSAM_変換仕様書\Debug_20130517(2)\3回目_本社最新(帳票）\OLV080_pos順の調整ある - sakura 1.6.6.0 ;文書作成・確認;プログラミング;テスト;文書作成・確認;余暇
調査　;2013/05/22 16:50:47;2013/05/22 16:52:41;0;0;0;sakura.exe:E:\開発三部\PSAM_変換仕様書\Debug_20130517(2)\3回目_本社最新(帳票）\OLV080_pos順の調整ある - sakura 1.6.6.0 ;文書作成・確認;プログラミング;テスト;文書作成・確認;余暇
調査　;2013/05/22 16:59:34;2013/05/22 16:59:41;2;0;2;sakura.exe:E:\開発三部\PSAM_変換仕様書\Debug_20130517(2)\3回目_本社最新(帳票）\OLV080_pos順の調整ある - sakura 1.6.6.0 ;文書作成・確認;プログラミング;テスト;文書作成・確認;余暇
調査　;2013/05/22 16:59:41;2013/05/22 16:59:42;1;0;1;sakura.exe:検索;文書作成・確認;プログラミング;テスト;文書作成・確認;余暇
調査　;2013/05/22 16:59:42;2013/05/22 16:59:46;2;0;2;sakura.exe:E:\開発三部\PSAM_変換仕様書\Debug_20130517(2)\3回目_本社最新(帳票）\OLV080_pos順の調整ある - sakura 1.6.6.0 ;文書作成・確認;プログラミング;テスト;文書作成・確認;余暇
調査　;2013/05/22 16:59:46;2013/05/22 17:00:47;1;0;88;sakura.exe:E:\開発三部\PSAM_変換仕様書\Debug_20130517(2)\3回目_本社最新(帳票）\OLV080_pos順の調整ある(更新) - sakura 1.6.6.0 ;文書作成・確認;プログラミング;テスト;文書作成・確認;余暇
調査　;2013/05/22 17:00:47;2013/05/22 17:03:36;0;0;0;sakura.exe:E:\開発三部\PSAM_変換仕様書\Debug_20130517(2)\3回目_本社最新(帳票）\OLV080_pos順の調整ある(更新) - sakura 1.6.6.0 ;文書作成・確認;プログラミング;テスト;文書作成・確認;余暇
調査　;2013/05/22 17:08:55;2013/05/22 17:09:10;3;0;11;sakura.exe:E:\開発三部\PSAM_変換仕様書\Debug_20130517(2)\3回目_本社最新(帳票）\OLV080_pos順の調整ある(更新) - sakura 1.6.6.0 ;文書作成・確認;プログラミング;テスト;文書作成・確認;余暇
調査　;2013/05/22 17:09:10;2013/05/22 17:09:12;2;0;1;sakura.exe:検索;文書作成・確認;プログラミング;テスト;文書作成・確認;余暇
調査　;2013/05/22 17:09:12;2013/05/22 17:09:44;2;0;101;sakura.exe:E:\開発三部\PSAM_変換仕様書\Debug_20130517(2)\3回目_本社最新(帳票）\OLV080_pos順の調整ある(更新) - sakura 1.6.6.0 ;文書作成・確認;プログラミング;テスト;文書作成・確認;余暇
調査　;2013/05/22 17:09:44;2013/05/22 17:09:46;1;0;1;sakura.exe:検索;文書作成・確認;プログラミング;テスト;文書作成・確認;余暇
調査　;2013/05/22 17:09:46;2013/05/22 17:10:18;2;0;70;sakura.exe:E:\開発三部\PSAM_変換仕様書\Debug_20130517(2)\3回目_本社最新(帳票）\OLV080_pos順の調整ある(更新) - sakura 1.6.6.0 ;文書作成・確認;プログラミング;テスト;文書作成・確認;余暇
調査　;2013/05/22 17:10:18;2013/05/22 17:10:20;1;0;1;sakura.exe:検索;文書作成・確認;プログラミング;テスト;文書作成・確認;余暇
調査　;2013/05/22 17:10:20;2013/05/22 17:10:38;3;0;45;sakura.exe:E:\開発三部\PSAM_変換仕様書\Debug_20130517(2)\3回目_本社最新(帳票）\OLV080_pos順の調整ある(更新) - sakura 1.6.6.0 ;文書作成・確認;プログラミング;テスト;文書作成・確認;余暇
調査　;2013/05/22 17:10:38;2013/05/22 17:10:39;0;0;1;sakura.exe:検索;文書作成・確認;プログラミング;テスト;文書作成・確認;余暇
調査　;2013/05/22 17:10:39;2013/05/22 17:10:48;1;0;24;sakura.exe:E:\開発三部\PSAM_変換仕様書\Debug_20130517(2)\3回目_本社最新(帳票）\OLV080_pos順の調整ある(更新) - sakura 1.6.6.0 ;文書作成・確認;プログラミング;テスト;文書作成・確認;余暇
調査　;2013/05/22 17:10:48;2013/05/22 17:11:00;1;0;20;sakura.exe:E:\開発三部\PSAM_変換仕様書\Debug_20130517(2)\3回目_本社最新(帳票）\OLV080_pos順の調整ある(更新) - sakura 1.6.6.0 ;文書作成・確認;プログラミング;テスト;文書作成・確認;余暇
調査　;2013/05/22 17:11:00;2013/05/22 17:11:02;1;0;2;sakura.exe:検索;文書作成・確認;プログラミング;テスト;文書作成・確認;余暇
調査　;2013/05/22 17:11:02;2013/05/22 17:11:31;2;0;62;sakura.exe:E:\開発三部\PSAM_変換仕様書\Debug_20130517(2)\3回目_本社最新(帳票）\OLV080_pos順の調整ある(更新) - sakura 1.6.6.0 ;文書作成・確認;プログラミング;テスト;文書作成・確認;余暇
調査　;2013/05/22 17:11:31;2013/05/22 17:11:37;2;0;0;sakura.exe:E:\開発三部\PSAM_変換仕様書\Debug_20130517(2)\3回目_本社最新(帳票）\OLV080_pos順の調整ある - sakura 1.6.6.0 ;文書作成・確認;プログラミング;テスト;文書作成・確認;余暇
ブラウザ;2013/05/22 17:11:37;2013/05/22 17:11:49;1;0;0;iexplore.exe:?物?--当当网 - Windows Internet Explorer;余暇;;;;余暇
ブラウザ;2013/05/22 17:11:49;2013/05/22 17:12:32;5;0;0;iexplore.exe:???算--当当网 - Windows Internet Explorer;余暇;;;;余暇
調査　;2013/05/22 17:12:32;2013/05/22 17:12:34;1;0;0;sakura.exe:E:\開発三部\PSAM_変換仕様書\Debug_20130517(2)\3回目_本社最新(帳票）\OLV080_pos順の調整ある - sakura 1.6.6.0 ;文書作成・確認;プログラミング;テスト;文書作成・確認;余暇
ブラウザ;2013/05/22 17:12:34;2013/05/22 17:12:37;1;0;0;iexplore.exe:成功加入?物?--当当网 - Windows Internet Explorer;余暇;;;;余暇
